stim,N_x,leak_rate,csv_seed,reservoir_seed,RMSE,NRMSE
10-6,400,0.9,126,724,0.13253448711836122,0.6825381108281218
10-6,600,0.9,126,724,0.1321353188075787,0.6804824376922637
10-6,800,0.9,126,724,0.13206098370158914,0.6800996200278695
10-6,1000,0.9,126,724,0.13291560949530623,0.6845008493787457
10-6,1200,0.9,126,724,0.132540959887332,0.6825714448802708
10-6,400,0.1,126,725,0.08274101595810802,0.4261071812170063
10-6,600,0.1,126,725,0.08780483339238856,0.4521852870769981
10-6,800,0.1,126,725,0.08769968497410631,0.45164378422493784
10-6,1000,0.1,126,725,0.08336439550932886,0.4293175177148506
10-6,1200,0.1,126,725,0.08435636622475481,0.43442605838848675
10-6,400,0.3,126,725,0.09192512810927166,0.47340435415351656
10-6,600,0.3,126,725,0.09324244926462556,0.480188414002982
10-6,800,0.3,126,725,0.09273492903040384,0.477574740313934
10-6,1000,0.3,126,725,0.09211049167406087,0.474358956235423
10-6,1200,0.3,126,725,0.09229127377205053,0.47528996426447445
10-6,400,0.5,126,725,0.11163443323003297,0.5749051195418166
10-6,600,0.5,126,725,0.11286920973503457,0.5812640834714546
10-6,800,0.5,126,725,0.11340529804500296,0.5840248796255613
10-6,1000,0.5,126,725,0.11030342000206542,0.5680505470161546
10-6,1200,0.5,126,725,0.11078670896867218,0.5705394323276228
10-6,400,0.7,126,725,0.12547809232398777,0.6461984495299433
10-6,600,0.7,126,725,0.12613477270878648,0.6495802816779647
10-6,800,0.7,126,725,0.12664720130520002,0.6522192328953791
10-6,1000,0.7,126,725,0.12470179257390833,0.6422005907357837
10-6,1200,0.7,126,725,0.12465339977329416,0.6419513731062669
10-6,400,0.9,126,725,0.13270058041601263,0.6833934731422262
10-6,600,0.9,126,725,0.13306413069444686,0.6852657173077161
10-6,800,0.9,126,725,0.1334658632252024,0.6873345958959375
10-6,1000,0.9,126,725,0.13238471968157173,0.6817668249115846
10-6,1200,0.9,126,725,0.13226617340617033,0.6811563245609407
10-6,400,0.1,136,721,0.08155384806127255,0.4199933964115598
10-6,600,0.1,136,721,0.08552782211762221,0.4404589280922199
10-6,800,0.1,136,721,0.08710499056140472,0.4485811730526255
10-6,1000,0.1,136,721,0.0838065461260693,0.43159454502459527
10-6,1200,0.1,136,721,0.08605537464550694,0.44317576590231744
10-6,400,0.3,136,721,0.09125060465210705,0.46993063213464886
10-6,600,0.3,136,721,0.09167651418204002,0.47212401962393336
10-6,800,0.3,136,721,0.0915872476160581,0.4716643065739179
10-6,1000,0.3,136,721,0.09195164449796299,0.4735409106546724
10-6,1200,0.3,136,721,0.09194460803864006,0.47350467365887144
10-6,400,0.5,136,721,0.10951885139284852,0.5640101045019604
10-6,600,0.5,136,721,0.11112569691667103,0.5722851831782222
10-6,800,0.5,136,721,0.10987801240161917,0.5658597444088211
10-6,1000,0.5,136,721,0.11175479601777721,0.5755249747323196
10-6,1200,0.5,136,721,0.11050752878362949,0.5691016849139288
10-6,400,0.7,136,721,0.12392688121298949,0.6382098819939267
10-6,600,0.7,136,721,0.12492144110263796,0.6433317566315813
10-6,800,0.7,136,721,0.12419681614171575,0.6396000173489216
10-6,1000,0.7,136,721,0.12544210576379108,0.6460131226814687
10-6,1200,0.7,136,721,0.1248144891394485,0.642780965720537
10-6,400,0.9,136,721,0.13173441562814678,0.6784178301726368
10-6,600,0.9,136,721,0.13226248449378206,0.6811373270656679
10-6,800,0.9,136,721,0.13217200625989908,0.6806713740585053
10-6,1000,0.9,136,721,0.1328692101134317,0.6842618976376795
10-6,1200,0.9,136,721,0.13242832950650968,0.6819914107395745
10-6,400,0.1,136,722,0.08418917932154707,0.4335650641253957
