stim,leak_rate,N_x,RMSE,NRMSE,csv_seed,reservoir_seed
10-5,0.9,400,0.1582878737328245,0.8643801316356247,116,725
10-5,0.9,600,0.1507785681314948,0.8233732344482537,116,725
10-5,0.9,800,0.15140891191661732,0.8268154226027271,116,725
10-5,0.9,1000,0.14875012071289279,0.8122962668615474,116,725
10-5,0.9,1200,0.1502710494672473,0.820601771041333,116,725
10-5,0.1,400,0.0718885676386999,0.3925698671240033,126,721
10-5,0.1,600,0.06879122220210089,0.37565584968810384,126,721
10-5,0.1,800,0.07564278953981318,0.4130709626567605,126,721
10-5,0.1,1000,0.08056519016282607,0.4399512611795957,126,721
10-5,0.1,1200,0.08221295151465836,0.4489493741784788,126,721
10-5,0.3,400,0.12810757348414753,0.6995712218527631,126,721
10-5,0.3,600,0.12381347460267142,0.676121960270718,126,721
10-5,0.3,800,0.12135071971312089,0.6626733217527156,126,721
10-5,0.3,1000,0.1201935883126172,0.6563544460947146,126,721
10-5,0.3,1200,0.12001139844332098,0.6553595416873766,126,721
10-5,0.5,400,0.143168743257068,0.7818174205279543,126,721
10-5,0.5,600,0.1440503787536836,0.7866318651764783,126,721
10-5,0.5,800,0.14340452080184155,0.7831049570927078,126,721
10-5,0.5,1000,0.1440820808475488,0.7868049843132897,126,721
10-5,0.5,1200,0.14574375511012372,0.7958790730855251,126,721
10-5,0.7,400,0.14978858483101964,0.8179671229414041,126,721
10-5,0.7,600,0.14736872966131634,0.8047527516771982,126,721
10-5,0.7,800,0.14638665299600906,0.7993898168091272,126,721
10-5,0.7,1000,0.1463314946724622,0.7990886076397583,126,721
10-5,0.7,1200,0.14938597443821622,0.8157685437570207,126,721
10-5,0.9,400,0.1559918851937576,0.851842172606733,126,721
10-5,0.9,600,0.1521598747195284,0.8309162883931754,126,721
10-5,0.9,800,0.14830989817979218,0.8098922948949219,126,721
10-5,0.9,1000,0.14783197898721445,0.807282468602803,126,721
10-5,0.9,1200,0.15052311907208737,0.8219782754637803,126,721
10-5,0.1,400,0.09344617321567326,0.5102918726506273,126,722
