stim,leak_rate1,leak_rate2,RMSE,NRMSE,csv_seed,reservoir_seed
10-6,0.1,0.3,0.06032745311091596,0.29824518725986665,126,723
10-6,0.1,0.5,0.06095916781629882,0.30136824087619163,126,723
10-6,0.1,0.7,0.06151088543872472,0.304095807135494,126,723
10-6,0.1,0.9,0.06206504963898785,0.3068354687183611,126,723
10-6,0.3,0.1,0.06422085058741832,0.31749325757574126,126,723
10-6,0.3,0.3,0.10530057484734434,0.5205820574950671,126,723
10-6,0.3,0.5,0.09928898757431691,0.49086213929005545,126,723
10-6,0.3,0.7,0.09657168458530316,0.47742841223862187,126,723
10-6,0.3,0.9,0.09600289968713162,0.47461646925548506,126,723
10-6,0.5,0.1,0.06549188854033001,0.32377697970774605,126,723
10-6,0.5,0.3,0.09857694839866128,0.4873419797883882,126,723
10-6,0.5,0.5,0.09621178298262885,0.4756491406906025,126,723
10-6,0.5,0.7,0.09603183913675932,0.4747595393028405,126,723
10-6,0.5,0.9,0.09548333188512223,0.4720478443854846,126,723
10-6,0.7,0.1,0.06537352664294169,0.3231918254466154,126,723
10-6,0.7,0.3,0.09895218008681808,0.4891970397872648,126,723
10-6,0.7,0.5,0.09696370691540111,0.479366481346813,126,723
10-6,0.7,0.7,0.1030547762791374,0.5094793409044736,126,723
10-6,0.7,0.9,0.1048055311920502,0.5181346744205064,126,723
10-6,0.9,0.1,0.06571485750093344,0.3248792874628247,126,723
10-6,0.9,0.3,0.09934753923805617,0.49115160537913743,126,723
10-6,0.9,0.5,0.09845280624553415,0.48672824925946684,126,723
10-6,0.9,0.7,0.10538747797059203,0.5210116867422826,126,723
10-6,0.9,0.9,0.11441143839093705,0.5656240916525844,126,723
10-6,0.1,0.1,0.057575032393270796,0.2846378461569239,126,724
10-6,0.1,0.3,0.06507290363544055,0.3217056137711124,126,724
10-6,0.1,0.5,0.06541055284975293,0.3233748745795473,126,724
10-6,0.1,0.7,0.06541525431249905,0.32339811754050124,126,724
10-6,0.1,0.9,0.06557599350257937,0.3241927754843293,126,724
10-6,0.3,0.1,0.0918961430901144,0.45431360004507465,126,724
10-6,0.3,0.3,0.09533781759297175,0.47132845486921215,126,724
10-6,0.3,0.5,0.0997578225294864,0.49317995252081476,126,724
10-6,0.3,0.7,0.09956612237178711,0.4922322306051282,126,724
10-6,0.3,0.9,0.09934575631038624,0.49114279099083874,126,724
10-6,0.5,0.1,0.0938377349459349,0.46391238793948086,126,724
10-6,0.5,0.3,0.0920498639724927,0.4550735610741997,126,724
10-6,0.5,0.5,0.09469067260357678,0.46812911744332203,126,724
10-6,0.5,0.7,0.09820161278570337,0.4854864060089662,126,724
10-6,0.5,0.9,0.09928107025283386,0.4908229978559895,126,724
10-6,0.7,0.1,0.09552690304619618,0.47226325028153227,126,724
10-6,0.7,0.3,0.09258496450024754,0.4577189762023617,126,724
10-6,0.7,0.5,0.09705254793002227,0.4798056910875811,126,724
10-6,0.7,0.7,0.10203559160256352,0.5044407240054922,126,724
10-6,0.7,0.9,0.10635439000593928,0.5257918796092973,126,724
10-6,0.9,0.1,0.09588257235074357,0.4740215983116123,126,724
10-6,0.9,0.3,0.09264328454011674,0.45800729719578753,126,724
10-6,0.9,0.5,0.09818101109717972,0.48538455595339847,126,724
10-6,0.9,0.7,0.10352591983686375,0.5118085673404384,126,724
10-6,0.9,0.9,0.11227987238821008,0.5550861148467139,126,724
10-6,0.1,0.1,0.05598429017106403,0.27677357893728904,126,725
10-6,0.1,0.3,0.09315835291794917,0.46055367793750124,126,725
10-6,0.1,0.5,0.09471231652247575,0.46823612004847415,126,725
10-6,0.1,0.7,0.09555682637440084,0.4724111844004719,126,725
10-6,0.1,0.9,0.09577387164645358,0.4734842067886079,126,725
10-6,0.3,0.1,0.06123114540037195,0.30271283610289945,126,725
10-6,0.3,0.3,0.08742903347437127,0.4322292275885058,126,725
10-6,0.3,0.5,0.09072570765724992,0.44852723385771964,126,725
