[I 2024-11-06 00:54:34,400] Using an existing study with name 'reproduct_sample08' instead of creating a new one.
[I 2024-11-06 03:08:06,566] Trial 475 finished with value: 0.22336395624885935 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.008908428923274581, 'nodeNum_02': 200, 'leaking_rate_02': 0.06127898583557726, 'nodeNum_03': 200, 'leaking_rate_03': 0.08186133854874102, 'nodeNum_04': 550, 'leaking_rate_04': 0.09895864893914481, 'tikhonov_beta': 1.8976048907308634e-07, 'intensity': 1.7734164805340484}. Best is trial 461 with value: 0.21992342296321704.
[I 2024-11-06 03:13:53,069] Trial 496 finished with value: 0.23950739268545573 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.010737535872205694, 'nodeNum_02': 250, 'leaking_rate_02': 0.04557561748704283, 'nodeNum_03': 550, 'leaking_rate_03': 0.08112984541669599, 'nodeNum_04': 600, 'leaking_rate_04': 0.020459184134258113, 'tikhonov_beta': 1.3310481052220034e-07, 'intensity': 1.7988045998975548}. Best is trial 461 with value: 0.21992342296321704.
[I 2024-11-06 03:19:25,384] Trial 515 finished with value: 0.227442672694101 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.013154116478219728, 'nodeNum_02': 250, 'leaking_rate_02': 0.05449806053270589, 'nodeNum_03': 200, 'leaking_rate_03': 0.06731058776179052, 'nodeNum_04': 600, 'leaking_rate_04': 0.09969962640365367, 'tikhonov_beta': 2.687756768624753e-07, 'intensity': 1.714487550608218}. Best is trial 461 with value: 0.21992342296321704.
[I 2024-11-06 03:25:04,415] Trial 533 finished with value: 0.22407064074107635 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.008341517801618854, 'nodeNum_02': 300, 'leaking_rate_02': 0.06627030457426257, 'nodeNum_03': 350, 'leaking_rate_03': 0.07426345644527582, 'nodeNum_04': 600, 'leaking_rate_04': 0.09938306660690772, 'tikhonov_beta': 2.7481948856891446e-07, 'intensity': 1.8581040205372998}. Best is trial 461 with value: 0.21992342296321704.
[I 2024-11-06 03:30:47,124] Trial 555 finished with value: 0.22863492283367787 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.00802038483788216, 'nodeNum_02': 200, 'leaking_rate_02': 0.06300927792262229, 'nodeNum_03': 250, 'leaking_rate_03': 0.08650266347016801, 'nodeNum_04': 600, 'leaking_rate_04': 0.0725367106728281, 'tikhonov_beta': 1.812775273318158e-07, 'intensity': 1.750621471152832}. Best is trial 461 with value: 0.21992342296321704.
[I 2024-11-06 03:36:19,468] Trial 576 finished with value: 0.22500738313815108 and parameters: {'nodeNum_01': 500, 'leaking_rate_01': 0.011468336915269403, 'nodeNum_02': 200, 'leaking_rate_02': 0.07535921422490087, 'nodeNum_03': 200, 'leaking_rate_03': 0.06344236368295825, 'nodeNum_04': 600, 'leaking_rate_04': 0.08131959657886845, 'tikhonov_beta': 1.1941254061665358e-07, 'intensity': 1.8227796283479103}. Best is trial 461 with value: 0.21992342296321704.
[I 2024-11-06 03:41:45,176] Trial 595 finished with value: 0.2484126942230007 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.008745722562134005, 'nodeNum_02': 350, 'leaking_rate_02': 0.04957131213624477, 'nodeNum_03': 200, 'leaking_rate_03': 0.06314957981057674, 'nodeNum_04': 200, 'leaking_rate_04': 0.08965515925305129, 'tikhonov_beta': 3.822818396046782e-05, 'intensity': 1.9578725652358568}. Best is trial 461 with value: 0.21992342296321704.
[I 2024-11-06 03:47:11,408] Trial 614 finished with value: 0.23061231235008953 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.010675727715288148, 'nodeNum_02': 200, 'leaking_rate_02': 0.05638218981677632, 'nodeNum_03': 200, 'leaking_rate_03': 0.07026952030901754, 'nodeNum_04': 550, 'leaking_rate_04': 0.06335742292028905, 'tikhonov_beta': 2.3370075862780672e-07, 'intensity': 1.9092371602249592}. Best is trial 461 with value: 0.21992342296321704.
[I 2024-11-06 03:52:49,280] Trial 631 finished with value: 0.2276504255756375 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.010219168649145459, 'nodeNum_02': 200, 'leaking_rate_02': 0.042777768605402416, 'nodeNum_03': 600, 'leaking_rate_03': 0.04858548130963646, 'nodeNum_04': 500, 'leaking_rate_04': 0.06417483223114932, 'tikhonov_beta': 1.0339432348012306e-07, 'intensity': 1.9166563448870608}. Best is trial 461 with value: 0.21992342296321704.
[I 2024-11-06 03:58:32,746] Trial 652 finished with value: 0.22617157993503015 and parameters: {'nodeNum_01': 350, 'leaking_rate_01': 0.011561479596621398, 'nodeNum_02': 200, 'leaking_rate_02': 0.03741748535921218, 'nodeNum_03': 600, 'leaking_rate_03': 0.04671492370306377, 'nodeNum_04': 500, 'leaking_rate_04': 0.07656218956896911, 'tikhonov_beta': 1.3478179107828544e-07, 'intensity': 1.9895822946234727}. Best is trial 634 with value: 0.21926077150984172.
