stim,leak_rate,tikhonov_beta,csv_seed,reservoir_seed,RMSE,NRMSE
10-6,0.1,0.0001,116,725,0.08460730679280572,0.45491152604316776
10-6,0.1,1e-05,116,725,0.07912546772102394,0.42543710034404647
10-6,0.1,1e-06,116,725,0.07030868848281469,0.3780315670623685
10-6,0.1,1e-07,116,725,0.06201176187215847,0.33342114641436454
10-6,0.3,0.001,116,725,0.09363452935406381,0.5034485584454617
10-6,0.3,0.0001,116,725,0.08867234448159655,0.4767681784828844
10-6,0.3,1e-05,116,725,0.08565326223086295,0.4605353569218056
10-6,0.3,1e-06,116,725,0.08337975994494592,0.44831132529198553
10-6,0.3,1e-07,116,725,0.08328207192628292,0.4477860821737411
10-6,0.5,0.001,116,725,0.120159557014833,0.6460667467426902
10-6,0.5,0.0001,116,725,0.11582289626510647,0.6227496476129333
10-6,0.5,1e-05,116,725,0.11115797875160761,0.5976675970741054
10-6,0.5,1e-06,116,725,0.1057527934412735,0.5686053187523082
10-6,0.5,1e-07,116,725,0.11411588533495917,0.6135714929518077
10-6,0.7,0.001,116,725,0.13341206817612614,0.7173220591361181
10-6,0.7,0.0001,116,725,0.1309217525240329,0.7039322783173385
10-6,0.7,1e-05,116,725,0.12761913261058436,0.6861749483452753
10-6,0.7,1e-06,116,725,0.12420557787170836,0.6678211506136352
10-6,0.7,1e-07,116,725,0.12195837191440269,0.65573850751669
10-6,0.9,0.001,116,725,0.14019566080509246,0.7537956757996929
10-6,0.9,0.0001,116,725,0.13821153971779482,0.7431275717565353
10-6,0.9,1e-05,116,725,0.13605111254955285,0.7315115156821249
10-6,0.9,1e-06,116,725,0.13409874701404587,0.7210141529977582
10-6,0.9,1e-07,116,725,0.14594433406611684,0.7847047996688682
10-6,0.1,0.001,126,721,0.08096357664731021,0.4353201348996572
10-6,0.1,0.0001,126,721,0.07958158625092991,0.42788953127893276
10-6,0.1,1e-05,126,721,0.075837505811023,0.40775858265155895
10-6,0.1,1e-06,126,721,0.06823046918903486,0.36685752138921013
10-6,0.1,1e-07,126,721,0.05820747801778605,0.31296649965516643
10-6,0.3,0.001,126,721,0.09145058047085397,0.49170603221549614
10-6,0.3,0.0001,126,721,0.08636938588076333,0.46438576789410574
10-6,0.3,1e-05,126,721,0.08352798028139596,0.44910826756566224
10-6,0.3,1e-06,126,721,0.08211141151004876,0.44149174499868404
10-6,0.3,1e-07,126,721,0.09070570216362131,0.487701014914928
10-6,0.5,0.001,126,721,0.11812521484764156,0.6351286169894604
10-6,0.5,0.0001,126,721,0.11329813362084266,0.609174654259091
10-6,0.5,1e-05,126,721,0.10894986848770284,0.5857951613720165
10-6,0.5,1e-06,126,721,0.1044908816264372,0.5618203464942396
10-6,0.5,1e-07,126,721,0.1006022195358076,0.5409120198618057
10-6,0.7,0.001,126,721,0.1321621263086539,0.7106014461778365
10-6,0.7,0.0001,126,721,0.12935415023817015,0.6955036877484774
10-6,0.7,1e-05,126,721,0.12612693472849784,0.6781517876818505
10-6,0.7,1e-06,126,721,0.12246503458814055,0.6584627011925819
10-6,0.7,1e-07,126,721,0.3545385335830466,1.906261663053962
10-6,0.9,0.001,126,721,0.13932380876749914,0.7491079537111421
10-6,0.9,0.0001,126,721,0.13741329753821985,0.7388356307667135
10-6,0.9,1e-05,126,721,0.1350750169720864,0.726263303139482
10-6,0.9,1e-06,126,721,0.13248409116376886,0.7123325676273266
10-6,0.9,1e-07,126,721,0.13094607710938783,0.7040630652985537
10-6,0.1,0.001,126,722,0.07494941951989702,0.4029835731958923
10-6,0.1,0.0001,126,722,0.07521038721570465,0.40438672875358594
10-6,0.1,1e-05,126,722,0.07231290725818666,0.3888077311572923
10-6,0.1,1e-06,126,722,0.06525549459434705,0.35086185524511104
10-6,0.1,1e-07,126,722,0.05557330678027375,0.29880324469599034
10-6,0.3,0.001,126,722,0.09032567020944936,0.485657681747015
10-6,0.3,0.0001,126,722,0.08654928734787186,0.46535305138346394
10-6,0.3,1e-05,126,722,0.08385542127138956,0.45086883277088563
10-6,0.3,1e-06,126,722,0.08242590836284262,0.4431827129382568
10-6,0.3,1e-07,126,722,0.08594504983215688,0.4621042231109889
10-6,0.5,0.001,126,722,0.11752462523586746,0.6318994025495432
10-6,0.5,0.0001,126,722,0.11321519183068057,0.6087286977836321
10-6,0.5,1e-05,126,722,0.10862626159428085,0.584055211108794
10-6,0.5,1e-06,126,722,0.1038321515139873,0.558278525674449
10-6,0.5,1e-07,126,722,0.09769515542320747,0.525281490751515
10-6,0.7,0.001,126,722,0.13177962771443835,0.7085448505267059
10-6,0.7,0.0001,126,722,0.12911572480259997,0.6942217360725027
10-6,0.7,1e-05,126,722,0.1261943742513955,0.6785143924903468
10-6,0.7,1e-06,126,722,0.1229720548379619,0.6611888174622542
10-6,0.7,1e-07,126,722,0.13032538786728667,0.7007257803638816
10-6,0.9,0.001,126,722,0.1390622529747342,0.7477016361087687
10-6,0.9,0.0001,126,722,0.13736579645178212,0.7385802297553917
10-6,0.9,1e-05,126,722,0.13530919847730075,0.7275224363035836
10-6,0.9,1e-06,126,722,0.13349802291528973,0.717784215456249
10-6,0.9,1e-07,126,722,0.13368088306665107,0.7187674070228118
10-6,0.1,0.001,126,723,0.07685250032446404,0.41321594467545175
10-6,0.1,0.0001,126,723,0.07564595134217947,0.4067286439967877
10-6,0.1,1e-05,126,723,0.070921307670111,0.3813254614072005
10-6,0.1,1e-06,126,723,0.0631571411725487,0.33957955359206565
10-6,0.1,1e-07,126,723,0.053024593736951946,0.2850994762635192
10-6,0.3,0.001,126,723,0.09222754342474321,0.4958835603325218
10-6,0.3,0.0001,126,723,0.08728611318482292,0.4693147726416088
10-6,0.3,1e-05,126,723,0.08392030493938514,0.45121769541102885
10-6,0.3,1e-06,126,723,0.08189414149547636,0.440323540529836
10-6,0.3,1e-07,126,723,0.0975138343462818,0.524306574388676
10-6,0.5,0.001,126,723,0.11860476933824123,0.6377070570014299
10-6,0.5,0.0001,126,723,0.11363003166587536,0.6109591838922859
10-6,0.5,1e-05,126,723,0.10874843184144875,0.5847120888145496
10-6,0.5,1e-06,126,723,0.10394018427809901,0.5588593898036556
10-6,0.5,1e-07,126,723,0.10109895563040848,0.5435828408984449
10-6,0.7,0.001,126,723,0.13248822432026366,0.7123547905369038
10-6,0.7,0.0001,126,723,0.12934605375809274,0.6954601550768061
10-6,0.7,1e-05,126,723,0.12606762260834656,0.6778328818081892
10-6,0.7,1e-06,126,723,0.12282640333541507,0.6604056871416506
10-6,0.7,1e-07,126,723,0.12489803579160419,0.6715443170989119
10-6,0.9,0.001,126,723,0.1394155598838282,0.7496012756466534
10-6,0.9,0.0001,126,723,0.1373747505425929,0.7386283735773554
10-6,0.9,1e-05,126,723,0.13506655911943563,0.7262178274612898
10-6,0.9,1e-06,126,723,0.1330543437067769,0.7153986675234628
10-6,0.9,1e-07,126,723,0.1328118251276765,0.7140947080772349
10-6,0.1,0.001,126,724,0.07759116161456736,0.41718753468874464
10-6,0.1,0.0001,126,724,0.07568321771212158,0.40692901559426653
10-6,0.1,1e-05,126,724,0.07144394973957889,0.3841355721459602
10-6,0.1,1e-06,126,724,0.06238802201059901,0.3354441995081873
10-6,0.1,1e-07,126,724,0.05191312819500916,0.2791234145615696
10-6,0.3,0.001,126,724,0.09276505979597562,0.4987736463307598
10-6,0.3,0.0001,126,724,0.08749572646231328,0.47044180882272213
10-6,0.3,1e-05,126,724,0.08416873127863593,0.4525534193500339
10-6,0.3,1e-06,126,724,0.08202034303977089,0.44100209347378705
10-6,0.3,1e-07,126,724,0.09134423108034485,0.4911342191491762
10-6,0.5,0.001,126,724,0.11900479202203999,0.6398578751333014
10-6,0.5,0.0001,126,724,0.11370273158987868,0.6113500725120189
10-6,0.5,1e-05,126,724,0.10833841610377244,0.5825075406260012
10-6,0.5,1e-06,126,724,0.10300312703802764,0.5538210762675142
10-6,0.5,1e-07,126,724,0.1844663239214607,0.9918275394841013
10-6,0.7,0.001,126,724,0.13265081816624627,0.7132290154402245
10-6,0.7,0.0001,126,724,0.12932787682678776,0.6953624224355938
10-6,0.7,1e-05,126,724,0.12564960753738907,0.6755853232810753
10-6,0.7,1e-06,126,724,0.1224141754638402,0.658189244883361
10-6,0.7,1e-07,126,724,0.13218947588991864,0.7107484977768226
10-6,0.9,0.001,126,724,0.13950689016568135,0.7500923348644288
10-6,0.9,0.0001,126,724,0.13729888333770174,0.7382204553104593
10-6,0.9,1e-05,126,724,0.13493918149665682,0.7255329510486183
10-6,0.9,1e-06,126,724,0.1327944460879912,0.7140012654921427
10-6,0.9,1e-07,126,724,0.13667123366285572,0.734845745935725
10-6,0.1,0.001,126,725,0.08424486362744313,0.4529627632269398
10-6,0.1,0.0001,126,725,0.08460750678073053,0.4549126013263261
10-6,0.1,1e-05,126,725,0.07912707251238468,0.4254457288906173
10-6,0.1,1e-06,126,725,0.07032034401362292,0.37809423582595175
10-6,0.1,1e-07,126,725,0.062118397865788474,0.3339945004712683
10-6,0.3,0.001,126,725,0.09363453505158617,0.5034485890795604
10-6,0.3,0.0001,126,725,0.08867233206389812,0.4767681117161433
10-6,0.3,1e-05,126,725,0.08565332661278935,0.4605357030867114
10-6,0.3,1e-06,126,725,0.08337979229586581,0.44831149923448405
10-6,0.3,1e-07,126,725,0.08990974056336634,0.4834213360081112
10-6,0.5,0.001,126,725,0.12015956335071283,0.6460667808090713
10-6,0.5,0.0001,126,725,0.11582292670162568,0.6227498112621963
10-6,0.5,1e-05,126,725,0.11115846954823677,0.5976702359601782
10-6,0.5,1e-06,126,725,0.10575400196827094,0.5686118166882609
10-6,0.5,1e-07,126,725,0.10431381463792663,0.5608683032605214
10-6,0.7,0.001,126,725,0.1334120704597158,0.717322071414387
10-6,0.7,0.0001,126,725,0.1309217916019711,0.7039324884292681
10-6,0.7,1e-05,126,725,0.127619294355794,0.6861758180072813
10-6,0.7,1e-06,126,725,0.12420743332916115,0.6678311269267145
10-6,0.7,1e-07,126,725,0.12254043249791856,0.6588680961814755
10-6,0.9,0.001,126,725,0.1401956617009478,0.7537956806164745
10-6,0.9,0.0001,126,725,0.13821155658130735,0.7431276624272647
