[I 2024-11-07 18:52:09,052] Using an existing study with name 'reproduct_sample09' instead of creating a new one.
[I 2024-11-07 21:06:04,791] Trial 466 finished with value: 0.2101245875624299 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.051337236222542326, 'nodeNum_02': 350, 'leaking_rate_02': 0.2808541961390141, 'nodeNum_03': 600, 'leaking_rate_03': 0.01616200029293288, 'nodeNum_04': 450, 'leaking_rate_04': 0.2848786540643084, 'tikhonov_beta': 5.941356875249513e-08, 'intensity': 4.768947016069185}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 21:11:52,113] Trial 486 finished with value: 0.3223847566070758 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.11762393192675688, 'nodeNum_02': 350, 'leaking_rate_02': 0.3425322837248141, 'nodeNum_03': 600, 'leaking_rate_03': 0.010720756902852542, 'nodeNum_04': 450, 'leaking_rate_04': 0.28319774341446086, 'tikhonov_beta': 6.538597937880783e-08, 'intensity': 4.784552746166803}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 21:17:39,675] Trial 505 finished with value: 0.20809401051072426 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.09027685164352428, 'nodeNum_02': 450, 'leaking_rate_02': 0.4212952590332664, 'nodeNum_03': 600, 'leaking_rate_03': 0.012045218943656547, 'nodeNum_04': 450, 'leaking_rate_04': 0.22716392958080428, 'tikhonov_beta': 9.30189720835924e-08, 'intensity': 4.838219923146782}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 21:23:29,048] Trial 525 finished with value: 0.21236172913813212 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.05676621325869793, 'nodeNum_02': 450, 'leaking_rate_02': 0.27387600011553703, 'nodeNum_03': 600, 'leaking_rate_03': 0.015109933000569387, 'nodeNum_04': 450, 'leaking_rate_04': 0.20910008697094323, 'tikhonov_beta': 1.1200357277239915e-07, 'intensity': 4.974641511465467}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 21:29:18,497] Trial 545 finished with value: 0.5887592783237393 and parameters: {'nodeNum_01': 350, 'leaking_rate_01': 0.15334290313363344, 'nodeNum_02': 450, 'leaking_rate_02': 0.7234669969002073, 'nodeNum_03': 600, 'leaking_rate_03': 0.008987269734285683, 'nodeNum_04': 600, 'leaking_rate_04': 0.1947799151604291, 'tikhonov_beta': 1.1383312458237409e-07, 'intensity': 4.89904237833334}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 21:35:09,006] Trial 566 finished with value: 0.20919216402747048 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.07583311401249015, 'nodeNum_02': 450, 'leaking_rate_02': 0.40388323050342734, 'nodeNum_03': 600, 'leaking_rate_03': 0.011554951097501594, 'nodeNum_04': 400, 'leaking_rate_04': 0.25199863052071925, 'tikhonov_beta': 4.392718862387799e-08, 'intensity': 4.867515950146674}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 21:40:53,357] Trial 587 finished with value: 0.21093064847712806 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.07218054086058144, 'nodeNum_02': 500, 'leaking_rate_02': 0.4558645550348387, 'nodeNum_03': 550, 'leaking_rate_03': 0.010925802234296038, 'nodeNum_04': 400, 'leaking_rate_04': 0.2520757083988805, 'tikhonov_beta': 5.000377009723111e-08, 'intensity': 4.696077814895534}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 21:46:36,077] Trial 606 finished with value: 0.22488658891651642 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.10576876712978511, 'nodeNum_02': 550, 'leaking_rate_02': 0.5557836172509931, 'nodeNum_03': 550, 'leaking_rate_03': 0.01021154347469829, 'nodeNum_04': 400, 'leaking_rate_04': 0.22062654742817348, 'tikhonov_beta': 6.793691756658542e-08, 'intensity': 4.9147989456602845}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 21:52:30,416] Trial 626 finished with value: 0.24192479047096593 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.06343885915112694, 'nodeNum_02': 450, 'leaking_rate_02': 0.5775933173553193, 'nodeNum_03': 600, 'leaking_rate_03': 0.013590383042758171, 'nodeNum_04': 400, 'leaking_rate_04': 0.0070924587938669586, 'tikhonov_beta': 2.1533819075573303e-07, 'intensity': 4.693564149380381}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 21:58:22,796] Trial 647 finished with value: 0.21219365646151195 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.06343792279090729, 'nodeNum_02': 450, 'leaking_rate_02': 0.3633368708850493, 'nodeNum_03': 600, 'leaking_rate_03': 0.01578841942946988, 'nodeNum_04': 550, 'leaking_rate_04': 0.1734373107656651, 'tikhonov_beta': 5.62477169280545e-08, 'intensity': 4.741633312168845}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 22:04:29,044] Trial 667 finished with value: 0.2248651078289934 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.08583260051403131, 'nodeNum_02': 450, 'leaking_rate_02': 0.317695983095436, 'nodeNum_03': 600, 'leaking_rate_03': 0.0013522877475921795, 'nodeNum_04': 400, 'leaking_rate_04': 0.14381366949329638, 'tikhonov_beta': 5.539970452601474e-08, 'intensity': 4.5830104360673545}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 22:10:22,100] Trial 689 finished with value: 0.21065103103353935 and parameters: {'nodeNum_01': 550, 'leaking_rate_01': 0.05520799792548829, 'nodeNum_02': 450, 'leaking_rate_02': 0.4056946968723206, 'nodeNum_03': 600, 'leaking_rate_03': 0.01351949812144347, 'nodeNum_04': 600, 'leaking_rate_04': 0.132684683876866, 'tikhonov_beta': 8.123333081643452e-08, 'intensity': 4.603899369246669}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-07 22:16:18,429] Trial 709 finished with value: 0.21081188703136403 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.06801115451803738, 'nodeNum_02': 450, 'leaking_rate_02': 0.4956278906570328, 'nodeNum_03': 600, 'leaking_rate_03': 0.009115919355648927, 'nodeNum_04': 400, 'leaking_rate_04': 0.12099928467825365, 'tikhonov_beta': 6.638094868665094e-08, 'intensity': 4.753556288257827}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-07 22:22:06,439] Trial 729 finished with value: 0.21427264670899954 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.11867135265473622, 'nodeNum_02': 450, 'leaking_rate_02': 0.5035635837828842, 'nodeNum_03': 600, 'leaking_rate_03': 0.01858185961991464, 'nodeNum_04': 400, 'leaking_rate_04': 0.20198313437620008, 'tikhonov_beta': 3.8295893323744353e-08, 'intensity': 4.8047869389537805}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-07 22:27:46,070] Trial 748 finished with value: 0.2123278079774174 and parameters: {'nodeNum_01': 350, 'leaking_rate_01': 0.03837079567323607, 'nodeNum_02': 400, 'leaking_rate_02': 0.6529345393346052, 'nodeNum_03': 550, 'leaking_rate_03': 0.020824609074986983, 'nodeNum_04': 400, 'leaking_rate_04': 0.16508829194922534, 'tikhonov_beta': 3.1748271189964904e-08, 'intensity': 4.6510727157482}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-07 22:33:33,095] Trial 767 finished with value: 0.21082000560138908 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.04226179148575498, 'nodeNum_02': 450, 'leaking_rate_02': 0.7698124498435562, 'nodeNum_03': 600, 'leaking_rate_03': 0.020053116094035688, 'nodeNum_04': 350, 'leaking_rate_04': 0.16422052289195496, 'tikhonov_beta': 2.8866941842322396e-08, 'intensity': 4.699610978222481}. Best is trial 670 with value: 0.20543669310415288.
