stim,feedback_scale,leak_rate,tikhonov_beta,csv_seed,reservoir_seed,RMSE,NRMSE
10-6,0.5,0.9,1e-06,126,724,0.6942395794520326,1.4103070615496949
10-6,0.5,0.9,1e-07,126,724,0.7157052073823961,1.45391322798965
10-6,0.5,0.1,0.001,126,725,0.7317810867663117,1.486570435799168
10-6,0.5,0.1,1e-05,126,725,0.7486387322122972,1.5208157555954547
10-6,0.5,0.1,0.0001,126,725,0.7403626590472802,1.504003397481649
10-6,0.5,0.1,1e-07,126,725,0.8074312093236907,1.6402492308543024
10-6,0.5,0.1,1e-06,126,725,0.7843435920336722,1.5933480879892266
10-6,0.5,0.3,0.001,126,725,0.7116510179929735,1.4456773795966855
10-6,0.5,0.3,1e-05,126,725,0.7205272737685184,1.4637089735462165
10-6,0.5,0.3,0.0001,126,725,0.7147892901369983,1.452052595727803
10-6,0.5,0.3,1e-06,126,725,0.7199786831675148,1.4625945438573966
10-6,0.5,0.3,1e-07,126,725,0.7158106128975197,1.4541273531226806
10-6,0.5,0.5,0.001,126,725,0.6980316130377393,1.418010355775266
10-6,0.5,0.5,0.0001,126,725,0.7006802481961215,1.4233909030357428
10-6,0.5,0.5,1e-05,126,725,0.7020543639207849,1.4261823386830863
10-6,0.5,0.5,1e-07,126,725,0.73087609235665,1.4847319926386437
10-6,0.5,0.5,1e-06,126,725,0.7000455429500619,1.422101536487055
10-6,0.5,0.7,0.001,126,725,0.6918907231579523,1.405535497501558
10-6,0.5,0.7,1e-05,126,725,0.6948803206868249,1.4116086898561173
10-6,0.5,0.7,0.0001,126,725,0.6939630016117608,1.409745209859373
10-6,0.5,0.7,1e-07,126,725,0.741232805158805,1.5057710483646944
10-6,0.5,0.7,1e-06,126,725,0.6975725067436155,1.4170777082170327
10-6,0.5,0.9,0.001,126,725,0.6893061200045979,1.4002850275105552
10-6,0.5,0.9,0.0001,126,725,0.6900077871727569,1.4017104232837165
10-6,0.5,0.9,1e-05,126,725,0.6902586024389726,1.4022199398131079
10-6,0.5,0.9,1e-06,126,725,0.6934700489325772,1.4087438053514203
10-6,0.5,0.9,1e-07,126,725,0.7149783959517548,1.4524367531193216
10-6,0.5,0.1,0.001,136,721,0.6856507237860664,1.3928593040969952
10-6,0.5,0.1,1e-05,136,721,0.852227493433573,1.7312502594346937
10-6,0.5,0.1,0.0001,136,721,0.7324698880182073,1.4879696952166728
10-6,0.5,0.1,1e-07,136,721,300.54694413105386,610.5435215459263
10-6,0.5,0.1,1e-06,136,721,1.2195198025927056,2.477383082442098
10-6,0.5,0.3,0.001,136,721,0.7210948145446542,1.4648618994063836
10-6,0.5,0.3,0.0001,136,721,0.7842453208953348,1.5931484559249567
10-6,0.5,0.3,1e-05,136,721,0.9126726099941629,1.8540409749811622
10-6,0.5,0.3,1e-07,136,721,1.5608662138076665,3.1708083327729417
10-6,0.5,0.3,1e-06,136,721,0.7004554060744494,1.4229341494288996
10-6,0.5,0.5,0.001,136,721,0.6652185407620225,1.3513525204814179
10-6,0.5,0.5,0.0001,136,721,0.7268542004102144,1.4765617546102603
10-6,0.5,0.5,1e-05,136,721,0.8138265494672503,1.653240989942128
10-6,0.5,0.5,1e-06,136,721,1.100121641738442,2.2348327088063513
10-6,0.5,0.5,1e-07,136,721,0.7904230995685587,1.6056982516228853
10-6,0.5,0.7,0.001,136,721,0.637577722388622,1.2952018161816312
10-6,0.5,0.7,1e-05,136,721,0.733833662502766,1.4907401232401694
10-6,0.5,0.7,0.0001,136,721,0.672094157225653,1.3653199327957937
10-6,0.5,0.7,1e-06,136,721,0.8048891985784015,1.6350852848467203
10-6,0.5,0.7,1e-07,136,721,0.6829356219000103,1.3873437335705292
10-6,0.5,0.9,0.001,136,721,0.6307700737343791,1.2813724764928656
10-6,0.5,0.9,0.0001,136,721,0.6436736208638895,1.3075852770510699
10-6,0.5,0.9,1e-06,136,721,0.7374354942053334,1.4980570334754713
10-6,0.5,0.9,1e-05,136,721,0.7046088901411799,1.4313717091456297
10-6,0.5,0.9,1e-07,136,721,0.6961078597354772,1.4141023635674443
10-6,0.5,0.1,0.001,136,722,0.7252796946214405,1.4733632382794692
10-6,0.5,0.1,1e-06,136,722,1.0159052624775546,2.0637520647676992
10-6,0.5,0.1,1e-05,136,722,0.8800514542800026,1.7877730069464022
10-6,0.5,0.1,0.0001,136,722,0.7494812565691242,1.5225272945009414
10-6,0.5,0.1,1e-07,136,722,1061.1291690868431,2155.621783420567
10-6,0.5,0.3,0.001,136,722,0.72422421067895,1.4712190844433808
10-6,0.5,0.3,1e-05,136,722,5.0574798982932725,10.273974324308098
10-6,0.5,0.3,1e-07,136,722,7.466090731078464,15.166926219507193
10-6,0.5,0.3,1e-06,136,722,1.647570471169378,3.3469429555211287
10-6,0.5,0.3,0.0001,136,722,0.875429863008965,1.7783845148493578
10-6,0.5,0.5,0.001,136,722,0.6722663539688221,1.3656697403983202
10-6,0.5,0.5,0.0001,136,722,0.7290110185566674,1.4809432044043243
10-6,0.5,0.5,1e-05,136,722,1.3211149353034983,2.683767646678844
10-6,0.5,0.5,1e-07,136,722,27.661151562365124,56.19200998276603
10-6,0.5,0.5,1e-06,136,722,13.454544660892086,27.332119785174108
10-6,0.5,0.7,0.001,136,722,0.6391477156117334,1.298391165499466
10-6,0.5,0.7,1e-06,136,722,1.3575625927643538,2.757808928990292
10-6,0.5,0.7,1e-07,136,722,21.194287123839487,43.05495347709117
10-6,0.5,0.7,0.0001,136,722,0.6670551200263307,1.3550834237347213
10-6,0.5,0.7,1e-05,136,722,0.7527504992432718,1.5291685695963615
10-6,0.5,0.9,0.001,136,722,0.6310668705230006,1.2819754017930458
10-6,0.5,0.9,0.0001,136,722,0.6340931277175137,1.2881230661121215
10-6,0.5,0.9,1e-05,136,722,0.691167206534652,1.404065715839449
10-6,0.5,0.9,1e-06,136,722,0.9010394037652799,1.830408797590747
10-6,0.5,0.9,1e-07,136,722,20.437277616350954,41.51713298158728
10-6,0.5,0.1,0.001,136,723,0.6706317181601359,1.3623490734523769
10-6,0.5,0.1,1e-06,136,723,1.1178985397761732,2.2709454364253236
10-6,0.5,0.1,1e-05,136,723,0.8970094830739201,1.8222222496370912
10-6,0.5,0.1,0.0001,136,723,0.7900957757071072,1.6050333123614517
10-6,0.5,0.1,1e-07,136,723,131.09683714431648,266.3155496224979
10-6,0.5,0.3,0.001,136,723,0.7212900059601924,1.4652584193396099
10-6,0.5,0.3,0.0001,136,723,0.7029774424418475,1.428057518657191
10-6,0.5,0.3,1e-05,136,723,0.6769406958156808,1.375165392201874
10-6,0.5,0.3,1e-06,136,723,0.7178138834950737,1.4581968800605645
10-6,0.5,0.3,1e-07,136,723,0.7237318544641909,1.4702188916179864
10-6,0.5,0.5,0.001,136,723,0.6776715121378681,1.3766500027749131
10-6,0.5,0.5,1e-05,136,723,0.6755048850902853,1.3722486267724636
10-6,0.5,0.5,0.0001,136,723,0.6962153952960582,1.4143208157631186
10-6,0.5,0.5,1e-06,136,723,0.7087186795416259,1.439720505705898
10-6,0.5,0.5,1e-07,136,723,0.7372229787634829,1.497625320797023
10-6,0.5,0.7,0.001,136,723,0.6387403357066842,1.2975635970723276
10-6,0.5,0.7,0.0001,136,723,0.6543575925471697,1.3292891400348257
10-6,0.5,0.7,1e-05,136,723,0.6553980185633073,1.3314027045750914
10-6,0.5,0.7,1e-06,136,723,0.650422183926571,1.321294587819732
10-6,0.5,0.7,1e-07,136,723,0.7405143576096487,1.504311564229941
10-6,0.5,0.9,0.001,136,723,0.6300555955482443,1.2799210558867047
10-6,0.5,0.9,0.0001,136,723,0.6287210799450048,1.277210065567653
10-6,0.5,0.9,1e-05,136,723,0.6260179663541456,1.2717188485610273
10-6,0.5,0.9,1e-06,136,723,0.6312034684014828,1.282252892386089
10-6,0.5,0.9,1e-07,136,723,0.781634657948025,1.5878450469881986
10-6,0.5,0.1,0.001,136,724,0.7101914681646223,1.4427123895694214
10-6,0.5,0.1,0.0001,136,724,0.8067879810548672,1.6389425502838482
10-6,0.5,0.1,1e-05,136,724,0.9364206314566852,1.9022836902594589
10-6,0.5,0.1,1e-07,136,724,1.325285155721316,2.692239205312982
10-6,0.5,0.1,1e-06,136,724,1.0422402643343416,2.117250079262733
10-6,0.5,0.3,0.001,136,724,0.7196508648994591,1.4619286002378915
10-6,0.5,0.3,0.0001,136,724,0.7565178562486091,1.5368217347935975
10-6,0.5,0.3,1e-06,136,724,0.6714582641981806,1.3640281533387042
10-6,0.5,0.3,1e-07,136,724,2583.6433638587123,5248.520234833006
10-6,0.5,0.3,1e-05,136,724,0.775633180434051,1.575653396773773
10-6,0.5,0.5,0.001,136,724,0.660361868960405,1.3414864760492398
10-6,0.5,0.5,0.0001,136,724,0.6812269546951955,1.3838726761775024
10-6,0.5,0.5,1e-05,136,724,0.777682409175965,1.5798162849913144
10-6,0.5,0.5,1e-06,136,724,933.1001346403377,1895.5382953748222
10-6,0.5,0.5,1e-07,136,724,4758.335672172626,9666.28034227849
10-6,0.5,0.7,0.001,136,724,0.6349817925673491,1.2899283367278693
10-6,0.5,0.7,0.0001,136,724,0.6464134153956174,1.3131510092415926
10-6,0.5,0.7,1e-06,136,724,0.844209877255596,1.714962941558751
10-6,0.5,0.7,1e-07,136,724,4907.612138120167,9969.526743492273
10-6,0.5,0.7,1e-05,136,724,0.7050646531320195,1.432297564978974
10-6,0.5,0.9,0.001,136,724,0.6297197682455047,1.2792388423821264
10-6,0.5,0.9,0.0001,136,724,0.6295798870700517,1.2789546819635071
10-6,0.5,0.9,1e-07,136,724,4687.972455351148,9523.341586705075
10-6,0.5,0.9,1e-06,136,724,0.7495229274718774,1.5226119465002703
10-6,0.5,0.9,1e-05,136,724,0.6559851707237497,1.332595469814333
10-6,0.5,0.1,0.001,136,725,0.7364097907243251,1.495973376903393
10-6,0.5,0.1,0.0001,136,725,0.7728269909611548,1.5699527871473442
10-6,0.5,0.1,1e-05,136,725,0.9269278505210085,1.882999661541453
10-6,0.5,0.1,1e-06,136,725,0.9654054199503227,1.961164591176065
10-6,0.5,0.1,1e-07,136,725,851.671053746616,1730.1198847872827
10-6,0.5,0.3,0.001,136,725,0.6937558251762371,1.4093243430597064
10-6,0.5,0.3,0.0001,136,725,0.7283729311738468,1.479646967242813
10-6,0.5,0.3,1e-06,136,725,0.7942391809897841,1.6134503976184371
10-6,0.5,0.3,1e-05,136,725,0.7074251141067256,1.4370927032564085
10-6,0.5,0.3,1e-07,136,725,0.8752318884322559,1.7779823410871523
